run_id,ordinal,seed,campaign_id,fault_point,data_origin,execution_mode,process_pid,process_exit_code,process_started_at,checkpoint_reached_at,process_killed_at,restart_completed_at,attempts_created,lease_recoveries,observations_staged,observations_received,observations_accepted,corrupted_receipts,accepted_outcomes,duplicate_suppressions,hard_budget,budget_committed,budget_reserved,budget_consumed,budget_released,replay_equal,package_verified,objects_referenced,objects_verified,package_id,package_sha256,failure_codes,exclusions
phase7-20260813-100,91,20260904,4cf918c1-a536-4f95-968e-7a5406ce59b7,during_evidence_export,synthetic,replay,13640,1,2026-08-13T15:32:19.872357Z,2026-08-13T15:32:21.407678Z,2026-08-13T15:32:21.407678Z,2026-08-13T15:32:21.557134Z,2,0,1,1,1,0,1,1,3,2,2,2,0,True,True,2,1,experiment-package:cfda7b272632926583622585f0516c89,f344f69bf8c6b4f112046b34e7a566d5b389ed04d292c349f92dc7fef655df90,[],[]
phase7-20260813-100,92,20260905,6c3b6a35-8005-4b87-9352-3c102ea4e6e3,after_adapter_return_before_upload,synthetic,replay,37516,1,2026-08-13T15:32:21.656519Z,2026-08-13T15:32:26.376511Z,2026-08-13T15:32:26.376511Z,2026-08-13T15:32:33.075533Z,3,1,1,1,1,0,1,1,3,3,3,3,0,True,True,2,1,experiment-package:4657687a6e5df6a055250ddb259a3fec,30fdece637f811b7dbccbfa9711bf743eaa28c73bcc18888f0e577691e612235,"[""lease_lost""]",[]
phase7-20260813-100,93,20260906,519d9e8c-7f1f-4fcf-9b02-a880ca86a268,after_adapter_return_before_upload,synthetic,replay,38076,1,2026-08-13T15:32:33.153634Z,2026-08-13T15:32:37.710797Z,2026-08-13T15:32:37.710797Z,2026-08-13T15:32:44.400621Z,3,1,1,1,1,0,1,1,3,3,3,3,0,True,True,2,1,experiment-package:5df94ca306e3b14060c6c7de0eb36932,32d8f84d4d3de868b50a510c49a787dc7ef55c704e57131ffec9545f77fddf14,"[""lease_lost""]",[]
phase7-20260813-100,94,20260907,eedb969b-1a0d-45d1-a1e8-37cbea951417,during_evidence_export,synthetic,replay,23984,1,2026-08-13T15:32:50.087056Z,2026-08-13T15:32:51.877272Z,2026-08-13T15:32:51.877272Z,2026-08-13T15:32:52.021314Z,2,0,1,1,1,0,1,1,3,2,2,2,0,True,True,2,1,experiment-package:4f0a9bef9e51d636d29a5fe783e6ed1f,124a31b5bd570973b97822fe5c17a27a0d2835be2fd2b2fdbfcc193c011a5257,[],[]
phase7-20260813-100,95,20260908,f5360227-cf82-4423-9f17-fcc48f0e26df,after_lease_acquisition,synthetic,replay,39056,1,2026-08-13T15:32:52.088793Z,2026-08-13T15:32:56.854658Z,2026-08-13T15:32:56.854658Z,2026-08-13T15:33:03.844750Z,2,1,1,1,1,0,1,1,3,2,3,2,1,True,True,2,1,experiment-package:9e1ce1f2d0f8e8a037096442b41b8462,c786095d28c95fb29d78c02a426fe511cf41878f9631bde8a3ceaa734545ec69,[],[]
phase7-20260813-100,96,20260909,61890fc0-9ed1-4ed1-8db0-fd4c5b6318dc,after_upload_before_outcome_transaction,synthetic,replay,33372,1,2026-08-13T15:33:03.956843Z,2026-08-13T15:33:08.638300Z,2026-08-13T15:33:08.638300Z,2026-08-13T15:33:15.651615Z,3,1,1,1,1,0,1,1,3,3,3,3,0,True,True,2,1,experiment-package:f0d37322ba4baa7d6c449a77b2cd4e46,cc91206fa0c706b1817968454c0557d795c4adec15d819d2103f648f52dd918a,"[""lease_lost""]",[]
phase7-20260813-100,97,20260910,a2c40507-e440-4f6a-b166-87f5d619a9dd,after_commit_before_acknowledgement,synthetic,replay,30836,1,2026-08-13T15:33:15.716694Z,2026-08-13T15:33:20.267494Z,2026-08-13T15:33:20.267494Z,2026-08-13T15:33:27.569747Z,2,0,1,1,1,0,1,1,3,2,2,2,0,True,True,2,1,experiment-package:25068ca2c5d0ca3b1345d443146f12fd,77507ddcb13e11511fb075ca91dd620cedca49e6f44b4a72480e7b76c0c1ee5f,[],[]
phase7-20260813-100,98,20260911,f3e4def2-6635-4026-9e1f-9fa2b0f3e4f2,during_object_upload,synthetic,replay,37700,1,2026-08-13T15:33:27.639212Z,2026-08-13T15:33:31.695173Z,2026-08-13T15:33:31.695173Z,2026-08-13T15:33:39.131602Z,3,1,1,1,1,0,1,1,3,3,3,3,0,True,True,2,1,experiment-package:ec2dbee75eec96c171824f361241ac05,96eb6915e3460f0d41861c23955d9bc3db216db4d51c03b47c5c8e34e68813a2,"[""lease_lost""]",[]
phase7-20260813-100,99,20260912,94c8929d-f086-472b-b54d-4702739bb26f,during_evidence_export,synthetic,replay,34420,1,2026-08-13T15:33:44.522002Z,2026-08-13T15:33:46.519404Z,2026-08-13T15:33:46.519404Z,2026-08-13T15:33:46.687603Z,2,0,1,1,1,0,1,1,3,2,2,2,0,True,True,2,1,experiment-package:5eeaa97dc2a11b6a1c05b46f10323dbf,a6e4f7c027af10c842ecb2333d84e07e17bab50d65dbcec9d726f442647e32d8,[],[]
phase7-20260813-100,100,20260913,19937805-b191-4d42-bff5-ef2f6ada4fe8,during_evidence_export,synthetic,replay,9728,1,2026-08-13T15:33:52.331003Z,2026-08-13T15:33:54.486429Z,2026-08-13T15:33:54.486429Z,2026-08-13T15:33:54.640369Z,2,0,1,1,1,0,1,1,3,2,2,2,0,True,True,2,1,experiment-package:98c883b10e75f6150b98720c7d6f2274,9ea560b053fcf8426bb1a05b1308ea9d994e3503b646f70792054e64b33cb588,[],[]
